File: linko
Type: cpu
Time: 2026-07-24 22:44:57 MST
Duration: 30.02s, Total samples = 11.45s (38.15%)
Showing nodes accounting for 11.37s, 99.30% of 11.45s total
Dropped 99 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
    10.39s 90.74% 90.74%     10.79s 94.24%  golang.org/x/crypto/blowfish.encryptBlock
     0.42s  3.67% 94.41%      0.42s  3.67%  runtime.asyncPreempt
     0.29s  2.53% 96.94%     11.12s 97.12%  golang.org/x/crypto/blowfish.ExpandKey
     0.19s  1.66% 98.60%      0.19s  1.66%  runtime.pthread_cond_signal
     0.08s   0.7% 99.30%      0.08s   0.7%  syscall.rawsyscalln
         0     0% 99.30%     11.12s 97.12%  golang.org/x/crypto/bcrypt.GenerateFromPassword
         0     0% 99.30%     11.12s 97.12%  golang.org/x/crypto/bcrypt.bcrypt
         0     0% 99.30%     11.12s 97.12%  golang.org/x/crypto/bcrypt.expensiveBlowfishSetup
         0     0% 99.30%     11.12s 97.12%  golang.org/x/crypto/bcrypt.newFromPassword
         0     0% 99.30%     11.14s 97.29%  main.(*server).handlerRedirect
         0     0% 99.30%     11.17s 97.55%  main.newServer.metricsMiddleware.func2
         0     0% 99.30%     11.18s 97.64%  main.newServer.newServer.requestLogger.func1.func4
         0     0% 99.30%     11.17s 97.55%  main.newServer.requestIdMiddleware.func3
         0     0% 99.30%     11.17s 97.55%  net/http.(*ServeMux).ServeHTTP
         0     0% 99.30%     11.19s 97.73%  net/http.(*conn).serve
         0     0% 99.30%     11.18s 97.64%  net/http.HandlerFunc.ServeHTTP
         0     0% 99.30%     11.18s 97.64%  net/http.serverHandler.ServeHTTP
         0     0% 99.30%      0.19s  1.66%  runtime.notewakeup
         0     0% 99.30%      0.17s  1.48%  runtime.ready
         0     0% 99.30%      0.19s  1.66%  runtime.semawakeup
         0     0% 99.30%      0.17s  1.48%  runtime.send.goready.func1
         0     0% 99.30%      0.18s  1.57%  runtime.startm
         0     0% 99.30%      0.18s  1.57%  runtime.systemstack
         0     0% 99.30%      0.18s  1.57%  runtime.wakep
         0     0% 99.30%      0.07s  0.61%  syscall.syscall
         0     0% 99.30%      0.07s  0.61%  syscall.syscalln
